datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-26 09:59:59,25.0311,25.8504780366667,23.0093,59.0259
2016-09-26 10:15:00,26.9338,26.0305978133334,21.4093,58.7519
2016-09-26 10:30:00,29.8106,31.6542980300001,23.9483,58.4567
2016-09-26 10:44:59,32.3969,33.7386625166666,24.5893,58.075
2016-09-26 11:00:00,36.2758,36.4752770466666,25.3111,57.6741
2016-09-26 11:15:00,39.8432,38.6807869533333,26.0382,57.1655
2016-09-26 11:29:59,42.2689,41.5810076266666,26.7618,56.2764
2016-09-26 11:45:00,43.208,41.8786501366666,27.2933,55.705
2016-09-26 12:00:00,44.5739,41.9077966099999,27.8855,55.0055
2016-09-26 12:14:59,43.4489,42.1143516066666,28.0019,55.1778
2016-09-26 12:30:00,31.7014,34.1960740233333,26.9636,58.5764
2016-09-26 12:45:00,29.4989,32.0154247866667,25.6214,62.1857
2016-09-26 12:59:59,31.6968,33.8591723966666,24.98,63.7833
2016-09-26 13:15:00,35.7951,35.9090062166666,24.6167,61.3204
2016-09-26 13:30:00,37.0663,36.53372595,24.4382,60.8836
2016-09-26 13:44:59,37.5754,36.7519215233334,24.7519,59.9315
2016-09-26 14:00:00,37.3934,36.9533787133334,24.8281,59.207
2016-09-26 14:15:00,36.6672,36.5097346033333,24.8153,58.4831
2016-09-26 14:29:59,33.3283,33.9989691,22.0727,58.4618
2016-09-26 14:45:00,30.6625,33.10476254,23.5463,58.5241
2016-09-26 15:00:00,29.6545,32.86496979,22.9345,59.4127
2016-09-26 15:14:59,31.6437,34.6738554833334,22.4421,61.1246
2016-09-26 15:30:00,31.3223,33.1589135666666,22.2932,62.039
2016-09-26 15:45:00,27.9183,30.9920289866666,22.0564,63.1036
2016-09-26 15:59:59,27.6486,30.9854948966667,21.6873,64.8145
2016-09-26 16:15:00,28.7697,31.6390612666666,21.4091,65.3218
2016-09-26 16:30:00,29.1036,32.5696126566667,21.1719,65.907
2016-09-26 16:44:59,30.7592,32.7726127033334,20.9034,66.3517
2016-09-26 17:00:00,32.6432,33.9317064066667,20.7455,66.5273
2016-09-26 17:15:00,32.9508,33.3809297233334,20.5491,66.8673
2016-09-26 17:29:59,27.6318,32.5646190433333,20.3815,67.0981
2016-09-26 17:45:00,38.0253,37.3743126533334,20.2207,66.4862
2016-09-26 18:00:00,38.9419,39.1549997,19.9966,65.8586
2016-09-26 18:14:59,37.2053,36.6081977333333,17.9407,65.9815
2016-09-26 18:30:00,34.5466,35.3307548566667,19.5964,66.5127
2016-09-26 18:45:00,33.4706,34.14783797,19.5,66.8255
2016-09-26 18:59:59,33.0226,33.6019297266667,19.3763,67.4322
2016-09-26 19:15:00,31.8048,32.66541872,19.2351,68.1754
2016-09-26 19:30:00,29.5686,29.24518363,19.0418,68.94
2016-09-26 19:44:59,28.0794,29.4530422433334,18.9527,69.7382
2016-09-26 20:00:00,27.6744,28.2877852166667,18.8906,70.1736
2016-09-26 20:15:00,28.5984,29.4328778733334,18.7053,70.5439
2016-09-26 20:29:59,26.9079,27.4743700833334,18.4278,71.1852
2016-09-26 20:45:00,23.7983,25.05326762,18.2418,72.0145
2016-09-26 21:00:00,23.2765,23.66094685,17.9855,72.7818
2016-09-26 21:14:59,22.329,23.17939953,17.7322,73.3153
2016-09-26 21:30:00,21.6224,23.5615473966667,17.6053,73.3386
2016-09-26 21:45:00,19.1227,20.6622007733333,17.4704,72.4685
2016-09-26 21:59:59,17.924,19.1831916366667,17.2564,72.06
2016-09-26 22:15:00,18.5172,18.7665383433334,17.0164,72.6618
2016-09-26 22:30:00,18.4713,18.5648717226667,16.735,73.195
2016-09-26 22:44:59,16.2461,17.92296567,16.4667,73.2702
2016-09-26 23:00:00,16.0604,17.363870106,16.2909,73.5091
2016-09-26 23:15:00,14.9026,17.061035676,16.0891,74.0691
2016-09-26 23:29:59,13.9957,16.0895570973334,15.837,74.6407
2016-09-26 23:45:00,12.8371,13.950611359,15.7017,74.9
2016-09-27 00:00:00,12.9114,13.9447567446666,15.3981,75.2057
2016-09-27 00:14:59,11.3597,12.5987778323333,15.0818,76.0727
2016-09-27 00:30:00,12.0577,12.331548344,14.7509,76.6727
2016-09-27 00:45:00,11.9585,12.0451607706667,14.4672,77.4207
2016-09-27 00:59:59,11.5537,11.98308292,14.1983,78.1431
2016-09-27 01:15:00,12.5396,12.351485488,13.9273,78.7727
2016-09-27 01:30:00,12.8588,12.4824251933333,13.8,79.56
2016-09-27 01:44:59,12.0195,11.893967584,13.6964,79.9582
2016-09-27 02:00:00,12.2298,12.0757162166667,13.531,80.5828
2016-09-27 02:15:00,11.495,11.489036709,13.4328,81.1552
2016-09-27 02:29:59,10.9379,11.2773202726667,13.3091,81.5073
2016-09-27 02:45:00,10.9427,11.037705042,13.2073,81.7418
2016-09-27 03:00:00,10.4224,10.933134858,11.3236,81.6945
2016-09-27 03:14:59,10.7972,11.029931358,13.1,81.4862
2016-09-27 03:30:00,11.8552,11.671579452,13.1,81.2345
